title,source,publish_date,deadline,budget_万元,buyer,matched_keywords,keyword_count,score,priority,categories
深圳某产业园区2MW光伏+1MWh储能直流微网EPC总承包项目,深圳市政府采购网,2026-07-05,2026-07-20,1200,深圳市XX科技产业园管理有限公司,直流微网、储能、光伏、充电桩、有序充电、绿电、能源管理、EMS、园区、消纳,10,87,高,目标客户、核心业务、相关业务
中山工业园区综合能源服务项目（含光储充）,广东省招标投标公共服务平台,2026-07-07,2026-07-25,3800,中山市火炬开发区管委会,直流微网、储能、光伏、充电桩、绿电、碳资产、能源管理、园区,8,71,高,目标客户、核心业务、相关业务
东莞松山湖零碳园区示范项目设计咨询,东莞市公共资源交易中心,2026-07-07,2026-07-28,560,松山湖高新区管委会,直流微网、绿电、碳资产、碳中和、园区、源网荷储,6,54,高,目标客户、核心业务、相关业务
东莞数据中心供配电系统改造及绿电接入工程,广东省招标投标公共服务平台,2026-07-03,2026-07-18,2500,东莞市云计算数据中心有限公司,储能、光伏、绿电、PUE、数据中心,5,45,高,目标客户、核心业务、相关业务
广州番禺区公共充电基础设施建设运营项目,广州公共资源交易中心,2026-07-06,2026-07-21,680,广州番禺交通投资集团,储能、光伏、有序充电、绿电,4,37,中,核心业务、相关业务
惠州新能源汽车充电站智慧运营平台采购,中国招标投标公共服务平台,2026-07-06,2026-07-22,450,惠州市绿行交通科技有限公司,充电桩、有序充电、绿电、碳资产,4,34,中,核心业务
肇庆市某工厂屋顶分布式光伏发电项目,广东省招标投标公共服务平台,2026-07-04,2026-07-19,750,肇庆市某制造有限公司,光伏,1,11,低,相关业务
珠海横琴智慧楼宇能源管理系统升级,珠海市政府采购网,2026-07-02,2026-07-16,320,横琴粤澳合作区城建公司,能源管理,1,7,不相关,相关业务
佛山市体育中心LED照明改造工程,佛山市公共资源交易中心,2026-07-04,2026-07-15,180,佛山市体育局,,0,0,不相关,无关
深圳前海某写字楼物业管理服务采购,深圳市政府采购网,2026-07-05,2026-07-12,95,前海某物业管理有限公司,,0,0,不相关,无关
